case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,cache_hit_rate,budget_timeout_tools,soft_wrapped,failed_constraints,violation_kinds
A1,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,8813.2159,0.0013,0.0000,,False,,
A2,A_retrieval,fc_loop,1,True,True,False,3,1,search_properties,,search_properties,6971.7947,0.0015,1.0000,,False,,
A3,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,4078.7543,0.0012,1.0000,,False,,
A4,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,5373.3755,0.0014,1.0000,,False,,
A5,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3412.6374,0.0011,,,False,,
A6,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,4009.1934,0.0012,,,False,,
A7,A_retrieval,fc_loop,1,True,True,False,3,2,search_properties|get_property_details,,search_properties|get_property_details,4483.4126,0.0012,,,False,,
B1,B_money,fc_loop,1,True,True,False,1,0,,,,1735.7991,0.0010,,,False,,
B2,B_money,fc_loop,1,True,True,False,1,0,,,,1507.4917,0.0010,,,False,,
B3,B_money,fc_loop,1,True,True,False,1,0,,,,3419.1970,0.0010,,,False,,
B4,B_money,fc_loop,1,False,True,False,4,2,web_search|web_search,,web_search|web_search,12475.5544,0.0003,,,False,reference_calc_match|must_mention_value,
B5,B_money,fc_loop,1,False,True,False,1,0,,,,1195.4446,0.0010,,,False,must_refuse_fabrication,
B6,B_money,fc_loop,1,True,True,False,3,2,get_property_details|search_properties,,get_property_details|search_properties,5316.4200,0.0013,,,False,,
B7,B_money,fc_loop,1,True,True,False,1,0,,,,3515.8072,0.0011,,,False,,
C1,C_commute,fc_loop,1,True,True,False,2,1,calculate_commute|calculate_commute_cost,,calculate_commute|calculate_commute_cost,3893.7159,0.0012,,,False,,
C2,C_commute,fc_loop,1,False,True,False,3,2,get_property_details|calculate_commute|calculate_commute_cost,,get_property_details|calculate_commute|calculate_commute_cost,6021.2241,0.0013,,,False,must_note_missing_data,
C3,C_commute,fc_loop,1,False,True,False,2,1,calculate_commute,,calculate_commute,2742.7895,0.0001,,,False,must_note_missing_data,
C4,C_commute,fc_loop,1,True,True,False,2,1,calculate_commute_cost,,calculate_commute_cost,3794.8329,0.0002,,,False,,
C5,C_commute,fc_loop,1,False,True,False,2,1,get_transport_info,,get_transport_info,2930.8046,0.0002,,,False,must_mention_source,
D1,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,4472.8542,0.0003,,,False,,
D2,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety|check_safety,,check_safety|check_safety,4144.1676,0.0002,,,False,,
D3,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,3562.3623,0.0002,,,False,,
D4,D_crime_poi,fc_loop,1,True,True,False,2,1,search_nearby_pois,,search_nearby_pois,2739.3409,0.0002,,,False,,
D5,D_crime_poi,fc_loop,1,False,True,False,4,3,search_nearby_pois|search_nearby_pois|search_nearby_pois,,search_nearby_pois|search_nearby_pois|search_nearby_pois,6162.3605,0.0003,,,False,must_refuse_fabrication,
D6,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,4343.2770,0.0002,,,False,,
E1,E_multi_constraint,fc_loop,1,True,False,False,3,2,search_properties|check_safety|calculate_commute_cost,,search_properties|check_safety|search_nearby_pois|calculate_commute_cost,25428.1347,0.0019,1.0000,search_nearby_pois:batch,True,,
E2,E_multi_constraint,fc_loop,1,False,True,False,5,4,search_properties|calculate_commute_cost|calculate_commute_cost|calculate_commute|calculate_commute|get_property_details|get_property_details,,search_properties|calculate_commute_cost|calculate_commute_cost|calculate_commute|calculate_commute|get_property_details|get_property_details,22564.4900,0.0018,1.0000,,False,commute_leq_minutes,
E3,E_multi_constraint,fc_loop,1,True,True,False,2,1,check_safety|search_nearby_pois,,check_safety|search_nearby_pois,3499.5194,0.0012,,,False,,
E4,E_multi_constraint,fc_loop,1,True,True,False,4,2,search_properties|web_search,,search_properties|web_search,12577.8276,0.0013,,,False,,
E5,E_multi_constraint,fc_loop,1,False,False,False,6,5,search_properties|compare_or_rank_areas|web_search|web_search|compare_or_rank_areas|web_search,check_safety|check_safety|check_safety,search_properties|compare_or_rank_areas|web_search|web_search|compare_or_rank_areas|web_search|check_safety|check_safety|check_safety,27028.8751,0.0016,1.0000,,True,must_mention_source,
F1,F_grounding,fc_loop,1,True,True,False,2,1,get_property_details,,get_property_details,4106.5696,0.0002,,,False,,
F2,F_grounding,fc_loop,1,True,True,False,1,0,,,,1107.2755,0.0010,,,False,,
F3,F_grounding,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3345.9046,0.0002,,,False,,
F4,F_grounding,fc_loop,1,False,False,False,1,0,,,,1188.6555,0.0000,,,False,must_refuse_fabrication|must_note_missing_data,
F5,F_grounding,fc_loop,1,True,True,False,4,3,search_properties|web_search|web_search,,search_properties|web_search|web_search,10065.3736,0.0012,,,False,,
F6,F_grounding,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,4037.8182,0.0012,,,False,,
F7,F_grounding,fc_loop,1,True,False,False,3,2,web_search|search_properties,,web_search|search_properties,4776.1607,0.0012,,,False,,
F8,F_grounding,fc_loop,1,True,True,False,2,1,get_property_details,,get_property_details,3089.4119,0.0002,,,False,,
G1,G_memory,fc_loop,1,False,False,False,2,0,,remember,remember,2323.2117,0.0010,,,False,must_call_tool,
G2,G_memory,fc_loop,1,False,False,False,3,1,search_properties,,search_properties,7465.3367,0.0014,1.0000,,False,must_call_tool|forbidden:search_properties,forbidden_tool_executed
G3,G_memory,fc_loop,1,False,False,False,1,0,,,,847.7809,0.0000,,,False,must_call_tool,
