run_id,case_id,model,purpose,input_tokens,output_tokens,cached_tokens,cost_usd,latency_ms,success
A2#r1#routed_models,A2,deepseek-chat,intent,699,9,640,0.0000,1165.7514,True
A2#r1#routed_models,A2,deepseek-chat,memory,525,120,512,0.0000,1770.6870,True
A4#r1#routed_models,A4,deepseek-chat,intent,684,9,640,0.0000,931.1004,True
A5#r1#routed_models,A5,deepseek-chat,intent,685,9,640,0.0000,788.7392,True
A5#r1#routed_models,A5,deepseek-reasoner,responder,815,306,768,0.0001,4602.4032,True
A5#r1#routed_models,A5,deepseek-reasoner,responder,950,334,896,0.0001,4651.4495,True
A6#r1#routed_models,A6,deepseek-chat,intent,690,9,640,0.0000,1093.1004,True
A6#r1#routed_models,A6,deepseek-reasoner,responder,1109,416,1024,0.0001,5192.9732,True
A7#r1#routed_models,A7,deepseek-chat,intent,687,9,640,0.0000,1060.4477,True
B1#r1#routed_models,B1,deepseek-chat,intent,689,8,640,0.0000,860.3645,True
B1#r1#routed_models,B1,deepseek-reasoner,responder,621,260,512,0.0001,4329.5516,True
B2#r1#routed_models,B2,deepseek-chat,intent,690,8,640,0.0000,1476.6122,True
B2#r1#routed_models,B2,deepseek-chat,planner,91,289,0,0.0001,3922.1198,True
B2#r1#routed_models,B2,deepseek-reasoner,responder,3228,331,3200,0.0001,4924.4580,True
B3#r1#routed_models,B3,deepseek-chat,intent,688,8,640,0.0000,652.2608,True
B3#r1#routed_models,B3,deepseek-chat,planner,89,247,0,0.0001,2767.3745,True
B3#r1#routed_models,B3,deepseek-reasoner,responder,2678,715,1280,0.0004,8883.1595,True
B4#r1#routed_models,B4,deepseek-chat,intent,688,8,640,0.0000,630.0790,True
B4#r1#routed_models,B4,deepseek-chat,planner,89,295,0,0.0001,3499.2328,True
B4#r1#routed_models,B4,deepseek-reasoner,responder,2412,1311,512,0.0006,15925.7627,True
B5#r1#routed_models,B5,deepseek-chat,intent,680,8,640,0.0000,890.2476,True
B5#r1#routed_models,B5,deepseek-chat,planner,81,245,0,0.0001,2718.8118,True
B5#r1#routed_models,B5,deepseek-reasoner,responder,2512,807,2432,0.0002,10689.0998,True
B6#r1#routed_models,B6,deepseek-chat,intent,745,10,640,0.0000,758.1652,True
B6#r1#routed_models,B6,deepseek-reasoner,responder,1372,661,1280,0.0002,7523.7397,True
B7#r1#routed_models,B7,deepseek-chat,intent,689,8,640,0.0000,885.2802,True
B7#r1#routed_models,B7,deepseek-chat,planner,90,270,0,0.0001,2940.4566,True
B7#r1#routed_models,B7,deepseek-reasoner,responder,2442,620,2432,0.0002,6637.0038,True
C1#r1#routed_models,C1,deepseek-chat,intent,739,10,640,0.0000,859.0654,True
C1#r1#routed_models,C1,deepseek-reasoner,responder,842,130,768,0.0000,1934.5617,True
C2#r1#routed_models,C2,deepseek-chat,intent,739,10,640,0.0000,797.1006,True
C2#r1#routed_models,C2,deepseek-reasoner,responder,829,386,768,0.0001,4726.2769,True
C3#r1#routed_models,C3,deepseek-chat,intent,739,10,640,0.0000,658.0964,True
C4#r1#routed_models,C4,deepseek-reasoner,responder,647,261,640,0.0001,3235.7550,True
C5#r1#routed_models,C5,deepseek-reasoner,responder,753,502,640,0.0002,5712.9378,True
D1#r1#routed_models,D1,deepseek-chat,intent,688,9,640,0.0000,649.8444,True
D2#r1#routed_models,D2,deepseek-chat,intent,687,9,640,0.0000,543.5787,True
D3#r1#routed_models,D3,deepseek-chat,intent,691,9,640,0.0000,622.0066,True
D4#r1#routed_models,D4,deepseek-chat,intent,734,13,640,0.0000,846.4947,True
D5#r1#routed_models,D5,deepseek-chat,intent,692,13,640,0.0000,672.8996,True
D5#r1#routed_models,D5,deepseek-reasoner,responder,688,236,640,0.0001,3918.3575,True
D6#r1#routed_models,D6,deepseek-chat,intent,693,9,640,0.0000,764.0145,True
E1#r1#routed_models,E1,deepseek-chat,intent,715,9,640,0.0000,583.9563,True
E2#r1#routed_models,E2,deepseek-chat,intent,702,9,640,0.0000,784.3573,True
E3#r1#routed_models,E3,deepseek-chat,intent,736,13,640,0.0000,790.5430,True
E4#r1#routed_models,E4,deepseek-chat,intent,701,9,640,0.0000,649.6032,True
E4#r1#routed_models,E4,deepseek-reasoner,responder,831,880,768,0.0003,10820.6238,True
E4#r1#routed_models,E4,deepseek-reasoner,responder,968,603,896,0.0002,7549.2438,True
E5#r1#routed_models,E5,deepseek-chat,intent,705,9,640,0.0000,822.8423,True
F1#r1#routed_models,F1,deepseek-chat,intent,734,10,640,0.0000,595.1081,True
F1#r1#routed_models,F1,deepseek-reasoner,responder,1261,561,1152,0.0002,5967.1695,True
F2#r1#routed_models,F2,deepseek-chat,intent,728,8,640,0.0000,583.5942,True
F2#r1#routed_models,F2,deepseek-reasoner,responder,685,216,640,0.0001,2919.0221,True
F3#r1#routed_models,F3,deepseek-chat,intent,685,9,640,0.0000,715.3356,True
F3#r1#routed_models,F3,deepseek-reasoner,responder,815,273,768,0.0001,3422.6106,True
F3#r1#routed_models,F3,deepseek-reasoner,responder,950,295,896,0.0001,3975.1973,True
F4#r1#routed_models,F4,deepseek-chat,intent,722,10,640,0.0000,603.2725,True
F5#r1#routed_models,F5,deepseek-chat,intent,680,9,640,0.0000,898.4207,True
F6#r1#routed_models,F6,deepseek-chat,intent,687,9,640,0.0000,689.0871,True
F7#r1#routed_models,F7,deepseek-chat,intent,684,8,640,0.0000,716.0168,True
F7#r1#routed_models,F7,deepseek-chat,planner,85,277,0,0.0001,2931.3288,True
F7#r1#routed_models,F7,deepseek-reasoner,responder,1147,227,1024,0.0001,3051.2899,True
F8#r1#routed_models,F8,deepseek-chat,intent,745,8,640,0.0000,1007.3265,True
F8#r1#routed_models,F8,deepseek-reasoner,responder,708,266,640,0.0001,3929.8861,True
G1#r1#routed_models,G1,deepseek-reasoner,responder,623,327,512,0.0001,4025.1886,True
G2#r1#routed_models,G2,deepseek-chat,intent,733,10,640,0.0000,763.2573,True
G2#r1#routed_models,G2,deepseek-reasoner,responder,841,117,768,0.0000,1782.0430,True
G3#r1#routed_models,G3,deepseek-reasoner,responder,663,144,640,0.0000,2310.4495,True
G4#r1#routed_models,G4,deepseek-reasoner,responder,653,258,640,0.0001,3169.8193,True
G5#r1#routed_models,G5,deepseek-chat,intent,731,10,640,0.0000,622.3561,True
