case_id,category,arch,repeat,passed,route_matched,hard_gate,llm_calls,tool_batches,tools_executed,tools_denied,tools_requested,latency_ms,cost_usd,failed_constraints,violation_kinds
A1,A_retrieval,fc_loop,1,True,True,False,4,1,search_properties,,search_properties|search_properties,44961.0234,0.0005,,
A2,A_retrieval,fc_loop,1,True,True,False,4,3,search_properties|get_property_details|get_property_details|get_property_details,,search_properties|get_property_details|get_property_details|get_property_details,13701.3877,0.0004,,
A3,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,7133.5340,0.0002,,
A4,A_retrieval,fc_loop,1,False,True,False,3,1,search_properties,,search_properties,12163.4493,0.0003,no_fabricated_number,no_evidence_numbers
A5,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3847.5226,0.0001,,
A6,A_retrieval,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,4009.5205,0.0002,,
A7,A_retrieval,fc_loop,1,True,True,False,4,3,search_properties|get_property_details|web_search,,search_properties|get_property_details|web_search,9581.0736,0.0005,,
B1,B_money,fc_loop,1,True,True,False,1,0,,,,1456.2285,0.0001,,
B2,B_money,fc_loop,1,True,True,False,1,0,,,,2007.5234,0.0001,,
B3,B_money,fc_loop,1,True,True,False,1,0,,,,3697.8396,0.0001,,
B4,B_money,fc_loop,1,False,True,False,4,2,web_search|web_search,,web_search|web_search,12945.1933,0.0003,reference_calc_match|must_mention_value,
B5,B_money,fc_loop,1,False,True,False,1,0,,,,1654.3103,0.0001,must_refuse_fabrication,
B6,B_money,fc_loop,1,True,True,False,3,2,get_property_details|search_properties,,get_property_details|search_properties,5762.4495,0.0003,,
B7,B_money,fc_loop,1,False,True,False,1,0,,,,2635.0604,0.0001,reference_calc_match|must_mention_value,
C1,C_commute,fc_loop,1,False,True,False,2,1,calculate_commute|calculate_commute,,calculate_commute|calculate_commute,4165.2979,0.0002,,
C2,C_commute,fc_loop,1,False,True,False,3,2,get_property_details|calculate_commute,,get_property_details|calculate_commute,5604.6175,0.0003,must_note_missing_data,
C3,C_commute,fc_loop,1,False,False,False,1,0,,,,1461.0451,0.0001,must_note_missing_data,
C4,C_commute,fc_loop,1,True,True,False,2,1,calculate_commute_cost,,calculate_commute_cost,4265.0217,0.0002,,
C5,C_commute,fc_loop,1,False,True,False,2,1,get_transport_info,,get_transport_info,3638.2265,0.0001,must_mention_source,
D1,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,4507.0831,0.0002,,
D2,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety|check_safety,,check_safety|check_safety,3940.3687,0.0002,,
D3,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,3956.5328,0.0001,,
D4,D_crime_poi,fc_loop,1,True,True,False,2,1,search_nearby_pois,,search_nearby_pois,3307.7609,0.0001,,
D5,D_crime_poi,fc_loop,1,False,True,False,5,4,search_nearby_pois|search_nearby_pois|search_nearby_pois|web_search,,search_nearby_pois|search_nearby_pois|search_nearby_pois|web_search,10470.2379,0.0004,must_refuse_fabrication,
D6,D_crime_poi,fc_loop,1,True,True,False,2,1,check_safety,,check_safety,4935.8773,0.0001,,
E1,E_multi_constraint,fc_loop,1,False,False,False,8,4,search_properties|check_safety|search_nearby_pois|search_nearby_pois|get_property_details|get_property_details|search_nearby_pois|search_nearby_pois|search_properties,,search_properties|check_safety|search_nearby_pois|search_nearby_pois|get_property_details|get_property_details|search_nearby_pois|search_nearby_pois|search_properties,45602.6030,0.0016,commute_leq_minutes,
E2,E_multi_constraint,fc_loop,1,False,True,False,4,3,search_properties|calculate_commute_cost|calculate_commute_cost|calculate_commute,,search_properties|calculate_commute_cost|calculate_commute_cost|calculate_commute,16937.9677,0.0007,commute_leq_minutes,
E3,E_multi_constraint,fc_loop,1,True,True,False,2,1,check_safety|search_nearby_pois,,check_safety|search_nearby_pois,4651.8745,0.0002,,
E4,E_multi_constraint,fc_loop,1,False,True,False,2,1,search_properties,,search_properties,4352.8324,0.0002,must_note_missing_data|must_refuse_fabrication,
E5,E_multi_constraint,fc_loop,1,False,False,False,10,8,search_properties|compare_or_rank_areas|web_search|search_properties|search_properties|check_safety|check_safety|check_safety|check_safety|get_transport_info|get_transport_info|get_transport_info|search_nearby_pois|search_nearby_pois,,search_properties|compare_or_rank_areas|web_search|search_properties|search_properties|check_safety|check_safety|check_safety|check_safety|get_transport_info|get_transport_info|get_transport_info|search_nearby_pois|search_nearby_pois|search_nearby_pois,66558.4581,0.0020,no_fabricated_number,no_evidence_numbers
F1,F_grounding,fc_loop,1,True,True,False,3,2,get_property_details|get_property_details,,get_property_details|get_property_details,6437.7802,0.0004,,
F2,F_grounding,fc_loop,1,True,True,False,1,0,,,,1415.2253,0.0000,,
F3,F_grounding,fc_loop,1,True,True,False,2,1,search_properties,,search_properties,3777.6706,0.0002,,
F4,F_grounding,fc_loop,1,True,False,False,1,0,,,,1931.5100,0.0001,,
F5,F_grounding,fc_loop,1,False,True,False,5,4,search_properties|web_search|web_search|search_properties,,search_properties|web_search|web_search|search_properties,11875.7750,0.0003,must_note_missing_data,
F6,F_grounding,fc_loop,1,True,True,False,4,3,search_properties|get_property_details|get_property_details|get_property_details|get_property_details,,search_properties|get_property_details|get_property_details|get_property_details|get_property_details,8020.1512,0.0008,,
F7,F_grounding,fc_loop,1,True,False,False,3,2,web_search|search_properties,,web_search|search_properties,9521.6464,0.0005,,
F8,F_grounding,fc_loop,1,True,True,False,2,1,get_property_details,,get_property_details,4062.1779,0.0002,,
